path,metal_status,reason,cuda_markers
KernelBench/level2/17_Conv2d_InstanceNorm_Divide.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/37_Matmul_Swish_Sum_GroupNorm.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/40_Matmul_Scaling_ResidualAdd.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/46_Conv2d_Subtract_Tanh_Subtract_AvgPool.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/52_Conv2d_Activation_BatchNorm.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/55_Matmul_MaxPool_Sum_Scale.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/59_Matmul_Swish_Scaling.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/66_Matmul_Dropout_Mean_Softmax.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/6_Conv3d_Softmax_MaxPool_MaxPool.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/73_Conv2d_BatchNorm_Scaling.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/82_Conv2d_Tanh_Scaling_BiasAdd_Max.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/85_Conv2d_GroupNorm_Scale_MaxPool_Clamp.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/86_Matmul_Divide_GELU.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/98_Matmul_AvgPool_GELU_Scale_Max.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level2/99_Matmul_GELU_Softmax.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level3/31_VisionAttention.py,Impossible,Uses FP8/INT4/NVFP4-oriented path that is not supported on current MetalBench stack,
KernelBench/level3/43_MinGPTCausalAttention.py,Impossible,Uses FP8/INT4/NVFP4-oriented path that is not supported on current MetalBench stack,
KernelBench/level3/44_MiniGPTBlock.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level4/1_DeepSeek_MLA.py,Impossible,Uses FP8/INT4/NVFP4-oriented path that is not supported on current MetalBench stack,
KernelBench/level4/2_DeepSeek_MoE.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level4/3_GroupedQueryAttention.py,Impossible,Uses FP8/INT4/NVFP4-oriented path that is not supported on current MetalBench stack,
KernelBench/level4/4_FP8_Matmul.py,Impossible,Uses FP8/INT4/NVFP4-oriented path that is not supported on current MetalBench stack,
KernelBench/level4/5_MoE_GatedGEMM.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level4/6_INT4_Quantized_GEMM.py,Impossible,Uses FP8/INT4/NVFP4-oriented path that is not supported on current MetalBench stack,
KernelBench/level4/7_GatedDeltaNet.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level4/8_KimiDeltaAttention.py,Impossible,Uses FP8/INT4/NVFP4-oriented path that is not supported on current MetalBench stack,
