path,has_op_type,has_precisions,has_hardware,has_sync,has_verifier,op_type,supported_precisions,hardware_required
KernelBench/tile_specialized/gemm_bias_silu.py,true,true,true,false,false,gemm_epilogue,fp16;bf16,H100;B200
KernelBench/tile_specialized/gemm_fp4.py,true,true,true,false,false,gemm,fp4,B200
KernelBench/tile_specialized/gemm_fp8.py,true,true,true,false,false,gemm,fp8,H100;B200
KernelBench/tile_specialized/gemm_mixed_fp8_fp16.py,true,true,true,false,false,gemm,fp8;fp16,H100;B200
KernelBench/tile_specialized/gemm_residual_add.py,true,true,true,false,false,gemm_epilogue,fp16;bf16,H100;B200
KernelBench/tile_specialized/gemv_bf16.py,true,true,true,false,false,gemv,bf16,RTX3090;A100;H100;B200
KernelBench/tile_specialized/gemv_fp16.py,true,true,true,false,false,gemv,fp16,RTX3090;A100;H100;B200
KernelBench/tile_specialized/gemv_fp4.py,true,true,true,false,false,gemv,fp4,B200
KernelBench/tile_specialized/gemv_fp8.py,true,true,true,false,false,gemv,fp8,H100;B200
KernelBench/tile_specialized/moe_grouped_gemm.py,true,true,true,false,false,moe_grouped_gemm,fp8;bf16;fp16,H100;B200
