path,problem_type,fp4,fp8,fp16,bf16,fp32,notes
KernelBench/level4/4_FP8_Matmul.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level4/5_MoE_GatedGEMM.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level4/6_INT4_Quantized_GEMM.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level4/7_GatedDeltaNet.py,attention,false,true,true,true,true,FP8 viable with scaling; FP4 generally too unstable for full attention path.
KernelBench/level4/8_KimiDeltaAttention.py,attention,false,true,true,true,true,FP8 viable with scaling; FP4 generally too unstable for full attention path.
KernelBench/tile_specialized/gemm_bf16.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/tile_specialized/gemm_bias_gelu.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/tile_specialized/gemm_bias_relu.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/tile_specialized/gemm_bias_silu.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/tile_specialized/gemm_fp4.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/tile_specialized/gemm_fp8.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/tile_specialized/gemm_mixed_fp8_fp16.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/tile_specialized/gemm_residual_add.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/tile_specialized/gemv_bf16.py,gemv,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/tile_specialized/gemv_fp16.py,gemv,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/tile_specialized/gemv_fp4.py,gemv,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/tile_specialized/gemv_fp8.py,gemv,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/tile_specialized/moe_grouped_gemm.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
